parcel_id,Titulares_count,testem_num,Latitude,Longitude
8851,1,1,-15.939959,37.179393
8852,2,1,-15.936931,37.177181
8853,1,1,-15.932527,37.183169
8854,1,1,-15.931505,37.182512
8855,1,1,-15.930944,37.181444
8856,1,1,-15.941109,37.178031
8857,2,1,-15.939311,37.179142
8858,1,1,-15.941533,37.177825
8859,1,1,-15.936203,37.183286
8860,1,1,-15.936153,37.182933
8613,2,2,-15.953468,37.165997
8614,1,2,-15.953193,37.166291
8615,2,2,-15.954282,37.165814
8616,1,2,-15.955885,37.168019
8617,2,2,-15.954068,37.166409
8618,1,2,-15.953767,37.1647
8619,1,2,-15.953046,37.163581
8620,1,2,-15.95266,37.165309
8862,1,1,-15.930314,37.185996
8861,1,1,-15.928371,37.186546
8863,1,1,-15.928143,37.187349
8864,1,1,-15.926567,37.186839
8865,1,1,-15.928823,37.190946
8866,1,1,-15.932436,37.191784
8867,1,1,-15.932214,37.190286
8621,1,2,-15.953931,37.168584
8623,1,2,-15.953293,37.168752
8625,1,2,-15.955909,37.168392
8626,1,2,-15.951526,37.165827
8622,1,2,-15.953479,37.168671
8624,3,2,-15.951434,37.170587
8627,2,2,-15.951056,37.178508
8628,1,1,-15.954335,37.180069
8630,1,1,-15.955496,37.181473
8632,1,2,-15.950329,37.177766
8629,1,2,-15.954488,37.179866
8631,1,2,-15.95075,37.176764
8633,1,2,-15.949972,37.17668
8634,1,2,-15.949404,37.174609
8635,1,2,-15.948877,37.175296
8636,1,2,-15.948429,37.175273
8637,1,2,-15.948189,37.176897
8870,1,1,-15.933659,37.175925
8869,1,1,-15.932436,37.178506
8873,1,1,-15.933384,37.17836
8868,1,1,-15.934186,37.176117
8875,1,1,-15.935919,37.175932
8876,1,1,-15.934891,37.176908
8871,1,1,-15.932418,37.188752
8874,1,1,-15.931253,37.176881
8877,1,1,-15.937342,37.169347
8872,2,1,-15.929472,37.184951
8878,1,1,-15.925629,37.177168
8879,1,1,-15.927285,37.177766
8880,1,1,-15.92783,37.174427
8881,1,1,-15.927049,37.166689
8638,1,1,-15.970034,37.16486
8639,2,2,-15.969188,37.163399
8882,1,1,-15.949793,37.213654
8886,1,1,-15.946819,37.211746
8883,1,1,-15.946453,37.21228
8884,1,1,-15.946537,37.213433
8885,1,1,-15.946932,37.213568
8890,1,1,-15.946696,37.210241
8889,1,1,-15.945962,37.210756
8892,1,1,-15.945863,37.209893
8888,1,1,-15.94567,37.20449
8887,1,1,-15.945421,37.204933
8891,1,1,-15.946397,37.205287
8893,1,1,-15.947304,37.205774
8643,1,2,-15.982519,37.173321
8641,1,2,-15.98269,37.172354
8644,1,2,-15.982053,37.17196
8645,1,2,-15.981699,37.171632
8646,1,2,-15.981616,37.172312
8647,1,2,-15.98116,37.171225
8648,1,2,-15.980963,37.171104
8649,1,2,-15.980763,37.169724
8640,1,2,-15.982987,37.169921
8650,1,2,-15.985074,37.172091
8642,1,2,-15.982663,37.170939
8895,1,1,-15.948425,37.204302
8896,1,1,-15.946405,37.206364
8899,1,1,-15.948879,37.205034
8900,1,1,-15.948824,37.206182
8896,1,1,-15.950079,37.204424
8897,1,1,-15.949953,37.205275
8898,1,1,-15.950301,37.203343
8903,1,1,-15.953258,37.207799
8901,1,1,-15.95104,37.209121
8902,1,1,-15.951352,37.209795
8904,1,1,-15.94203,37.204924
8905,1,1,-15.941181,37.204433
8909,1,1,-15.940138,37.205684
8908,1,1,-15.939856,37.205046
8909,1,1,-15.939969,37.203894
8907,1,1,-15.94085,37.202811
8917,1,1,-15.942057,37.200466
8915,1,1,-15.936453,37.198589
8916,1,1,-15.935239,37.197905
8912,1,1,-15.936101,37.204398
8913,1,1,-15.936777,37.205392
8911,1,1,-15.938195,37.211377
8910,1,1,-15.93855,37.207638
8651,2,2,-15.9812,37.176939
8652,2,2,-15.981086,37.175267
8653,1,2,-15.980746,37.176316
8654,2,2,-15.980081,37.175849
8655,1,2,-15.982282,37.177533
8656,1,2,-15.983579,37.178542
8661,1,2,-15.983693,37.177576
8662,1,2,-15.984152,37.17753
8663,1,2,-15.985319,37.177041
8660,1,1,-15.985237,37.176657
8657,1,2,-15.983097,37.179363
8664,1,2,-15.982972,37.180101
8658,1,2,-15.981772,37.180146
8659,1,1,-15.981447,37.181291
8918,1,1,-15.930658,37.196296
8921,1,1,-15.947898,37.207745
8920,1,1,-15.947511,37.204373
8919,1,1,-15.946487,37.203814
8923,1,1,-15.94546,37.20199
8922,1,1,-15.945768,37.202412
8924,1,1,-15.944954,37.202177
8930,1,2,-15.940549,37.196898
8931,1,1,-15.941232,37.197968
8932,1,1,-15.940497,37.198349
8933,1,1,-15.937985,37.195916
8935,1,1,-15.937283,37.200721
8934,1,1,-15.934708,37.200093
8914,1,2,-15.943416,37.20848
8925,1,2,-15.94262,37.209184
8926,1,2,-15.942436,37.210523
8927,1,2,-15.943469,37.211017
8928,1,2,-15.94399,37.210188
8929,1,1,-15.942577,37.218076
8936,1,1,-15.938439,37.190164
8950,1,1,-15.945423,37.212588
8949,1,1,-15.944685,37.209624
8947,1,1,-15.942528,37.207403
8937,1,1,-15.942419,37.203686
8938,1,1,-15.933425,37.199134
8939,1,1,-15.931006,37.197927
8940,1,1,-15.932427,37.197163
8941,1,1,-15.936106,37.201518
8943,2,1,-15.938115,37.20122
8946,2,1,-15.938536,37.201204
8942,1,1,-15.939196,37.200479
8944,1,1,-15.936051,37.206568
8945,1,1,-15.938261,37.204672
8948,1,1,-15.942152,37.206005
